Report ID,Year,Country,Lookup,Region,Sector,Mining,Gas,Oil,Commodity,Total extractive government receipts (US$),"Total Government Revenue, IMF data.","Total Government Revenue, excluding grants, WB data.",Total GDP (US$ nominal),Total Production Value (US$),Health expenditure (US$),Public spending on education (% of GDP) ,ODA (US$)
Azerbaijan2009,2009,Azerbaijan,2009_Azerbaijan,Europe and Cenmtral Asia,Gas,no,yes,no,Gas,14160319906,11881635220,18110724061,44291490421,2134574400,1428094955,0.0322431,231770000
Azerbaijan2009,2009,Azerbaijan,2009_Azerbaijan,Europe and Cenmtral Asia,Oil,no,no,yes,Oil,14160319906,11881635220,18110724061,44291490421,22976428800,1428094955,0.0322431,231770000
Azerbaijan2009,2009,Azerbaijan,2009_Azerbaijan,Europe and Cenmtral Asia,Mining,yes,no,no,Total Mining,14160319906,11881635220,18110724061,44291490421,10416765.23,1428094955,0.0322431,231770000
Azerbaijan2009,2009,Azerbaijan,2009_Azerbaijan,Europe and Cenmtral Asia,Mining,yes,no,no,Gold,14160319906,11881635220,18110724061,44291490421,10416765.23,1428094955,0.0322431,231770000
Azerbaijan2010,2010,Azerbaijan,2010_Azerbaijan,Europe and Central Asia,"Oil, Gas, Mining",yes,yes,yes,Total,19732689646,13279107574,24773763548,52902703376,32393445473,1471023151,0.0278062,159110000
Azerbaijan2010,2010,Azerbaijan,2010_Azerbaijan,Europe and Central Asia,"Oil, Gas",no,yes,yes,Total Oil & Gas,19732689646,13279107574,24773763548,52902703376,32317663229,1471023151,0.0278062,159110000
Azerbaijan2010,2010,Azerbaijan,2010_Azerbaijan,Europe and Central Asia,Gas,no,yes,no,Gas,19732689646,13279107574,24773763548,52902703376,2629026779,1471023151,0.0278062,159110000
Azerbaijan2010,2010,Azerbaijan,2010_Azerbaijan,Europe and Central Asia,Oil,no,no,yes,Oil,19732689646,13279107574,24773763548,52902703376,29688636450,1471023151,0.0278062,159110000
Azerbaijan2010,2010,Azerbaijan,2010_Azerbaijan,Europe and Central Asia,Mining,yes,no,no,Total Mining,19732689646,13279107574,24773763548,52902703376,75782243.74,1471023151,0.0278062,159110000
Azerbaijan2010,2010,Azerbaijan,2010_Azerbaijan,Europe and Central Asia,Mining,yes,no,no,Gold,19732689646,13279107574,24773763548,52902703376,74810344.86,1471023151,0.0278062,159110000
Azerbaijan2010,2010,Azerbaijan,2010_Azerbaijan,Europe and Central Asia,Mining,yes,no,no,Silver,19732689646,13279107574,24773763548,52902703376,971898.8799,1471023151,0.0278062,159110000
Azerbaijan2011,2011,Azerbaijan,2011_Azerbaijan,Europe and Central Asia,"Oil, Gas, Mining",yes,yes,yes,Total,23901723060,18478986425,29995694568,65951627200,40062322534,1606344213,0.0243564,286410000
Azerbaijan2011,2011,Azerbaijan,2011_Azerbaijan,Europe and Central Asia,"Oil, Gas",no,yes,yes,Total Oil & Gas,23901723060,18478986425,29995694568,65951627200,39971393256,1606344213,0.0243564,286410000
Azerbaijan2011,2011,Azerbaijan,2011_Azerbaijan,Europe and Central Asia,Gas,no,yes,no,Gas,23901723060,18478986425,29995694568,65951627200,2671021256,1606344213,0.0243564,286410000
Azerbaijan2011,2011,Azerbaijan,2011_Azerbaijan,Europe and Central Asia,Oil,no,no,yes,Oil,23901723060,18478986425,29995694568,65951627200,37300372000,1606344213,0.0243564,286410000
Azerbaijan2011,2011,Azerbaijan,2011_Azerbaijan,Europe and Central Asia,Mining,yes,no,no,Total Mining,23901723060,18478986425,29995694568,65951627200,90929277.6,1606344213,0.0243564,286410000
Azerbaijan2011,2011,Azerbaijan,2011_Azerbaijan,Europe and Central Asia,Mining,yes,no,no,Gold,23901723060,18478986425,29995694568,65951627200,89551047.58,1606344213,0.0243564,286410000
Azerbaijan2011,2011,Azerbaijan,2011_Azerbaijan,Europe and Central Asia,Mining,yes,no,no,Silver,23901723060,18478986425,29995694568,65951627200,1378230.018,1606344213,0.0243564,286410000
Azerbaijan2012,2012,Azerbaijan,2012_Azerbaijan,Europe and Central Asia,"Oil, Gas, Mining",yes,yes,yes,Total,21826952016,19404109470,28761328921,68730906314,38643272029,..,..,337610000
Azerbaijan2012,2012,Azerbaijan,2012_Azerbaijan,Europe and Central Asia,"Oil, Gas",no,yes,yes,Total Oil & Gas,21826952016,19404109470,28761328921,68730906314,38558722363,..,..,337610000
Azerbaijan2012,2012,Azerbaijan,2012_Azerbaijan,Europe and Central Asia,Gas,no,yes,no,Gas,21826952016,19404109470,28761328921,68730906314,2844523563,..,..,337610000
Azerbaijan2012,2012,Azerbaijan,2012_Azerbaijan,Europe and Central Asia,Oil,no,no,yes,Oil,21826952016,19404109470,28761328921,68730906314,35714198800,..,..,337610000
Azerbaijan2012,2012,Azerbaijan,2012_Azerbaijan,Europe and Central Asia,Mining,yes,no,no,Total Mining,21826952016,19404109470,28761328921,68730906314,84549665.49,..,..,337610000
Azerbaijan2012,2012,Azerbaijan,2012_Azerbaijan,Europe and Central Asia,Mining,yes,no,no,Gold,21826952016,19404109470,28761328921,68730906314,83895953.19,..,..,337610000
Azerbaijan2012,2012,Azerbaijan,2012_Azerbaijan,Europe and Central Asia,Mining,yes,no,no,Silver,21826952016,19404109470,28761328921,68730906314,653712.3035,..,..,337610000
BurkinaFaso2008,2008,Burkina Faso,2008_Burkina Faso,Africa,Mining,yes,no,no,Gold,3746160.964,1485257350,1080439691,8350710389,25665200,..,..,1001160000
