,Country,ISO,variable,value.GGExp,value.GGRev,value.GGExpCh,value.GGRevCh
896,Namibia,NAM,X2004,12.22,10.979,0.044712319,0.105305547
897,Nigeria,NGA,X2004,3176.666,4127.32,0.029127333,0.476802896
898,Norway,NOR,X2004,786.945,981.076,0.031723453,0.116147734
899,Oman,OMN,X2004,3.718,4.311,0.151440074,0.136867089
900,Papua New Guinea,PNG,X2004,4.106,4.315,0.077407505,0.177674672
901,Peru,PER,X2004,44.141,41.81,0.077845335,0.110491368
902,Qatar,QAT,X2004,36.103,55.725,0.431976836,0.814082948
903,Russia,RUS,X2004,5405.393,6240.008,0.171670017,0.298789463
904,Saudi Arabia,SAU,X2004,338.895,455.814,0.173008297,0.368782038
905,Sierra Leone,SLE,X2004,708.971,616.343,0.157384628,0.319789465
906,Sudan,SDN,X2004,11.347,11.471,0.623086826,0.546165251
907,Suriname,SUR,X2004,1.127,1.072,0.403486924,0.250875146
908,Syrian Arab Republic,SYR,X2004,396.904,343.923,0.132041676,0.069532037
909,Tanzania,TZA,X2004,2888.269,2475.326,0.278638978,0.238965773
910,Timor Leste,TLS,X2004,0.07,0.178,0,3.139534884
911,Trinidad and Tobago ,TTO,X2004,20.947,22.381,0.251388972,0.248730681
912,Turkmenistan,TKM,X2004,2.788,2.991,0.212701174,0.091207588
913,United Arab Emirates,ARE,X2004,96.131,143.565,0.04991208,0.299054427
914,Uzbekistan,UZB,X2004,3870.941,3944.687,0.185158503,0.199523497
915,Venezuela,VEN,X2004,67.877,73.131,0.571663425,0.684308713
916,Vietnam,VNM,X2004,192373,190889,0.112718468,0.247991266
917,Yemen,YEM,X2004,875.742,820.564,0.147680243,0.220545209
918,Zambia,ZMB,X2004,6.919,6.173,0.091841565,0.209443574
1081,Algeria,DZA,X2005,2052.037,3082.674,0.084718589,0.391622746
1082,Angola,AGO,X2005,854.785,1085.844,0.457684955,0.780988902
1083,Azerbaijan,AZE,X2005,2.839,3.143,0.286944696,0.373688811
1084,Bahrain,BHR,X2005,1.497,1.671,0.162267081,0.284396618
1085,Bolivia,BOL,X2005,25.558,23.829,0.134902309,0.276941214
1086,Botswana,BWA,X2005,17.632,23.008,0.01432434,0.281211716
1087,Brunei Darussalam,BRN,X2005,5.107,7.964,0.044803601,0.294748821
1088,Cameroon,CMR,X2005,1278.296,1589.928,-0.039720667,0.236411879
1089,Chad,TCD,X2005,404.946,402.537,0.202412272,0.470304407
1090,Chile,CHL,X2005,13930.21,17057.851,0.105113775,0.232177923
1091,Colombia,COL,X2005,87471.638,87424.868,0.075728186,0.129186973
1092,"Congo, Republic of",COG,X2005,775.762,1245.7,0.182005455,0.67028694
1093,Dem. Rep. of Congo,COD,X2005,621.8,606.9,NA,1.102553444
1094,Ecuador,ECU,X2005,8.88,9.146,0.18875502,0.118503119
1095,Equatorial Guinea,GNQ,X2005,609.587,1410.189,0.257077398,0.823068421
1096,Gabon,GAB,X2005,1036.152,1434.159,0.211420287,0.256000371
1097,Ghana,GHA,X2005,3.081,2.633,0.14535316,0.147776809
1098,Guinea,GIN,X2005,1807.88,1631.48,0.234764198,0.588011365
1099,Guyana,GUY,X2005,97.083,74.707,0.249009366,0.094319447
1100,Indonesia,IDN,X2005,526114.278,538894.002,0.181488913,0.228107894
1101,Iran,IRN,X2005,450083.998,504380.263,0.512920545,0.430434896
1102,Iraq,IRQ,X2005,46477.127,49468.975,-0.045327364,0.657835641
1103,Kazakhstan,KAZ,X2005,1679.883,2131.724,0.302414597,0.47921031
1104,Kuwait,KWT,X2005,6.635,16.852,0.107494575,0.705322809
1105,Libya,LBY,X2005,17.994,37.413,-0.013757194,0.607640083
1106,Malaysia,MYS,X2005,139.711,123.578,0.04541237,0.062314642
1107,Mali,MLI,X2005,712.656,621.605,0.138728259,0.114067317
1108,Mauritania,MRT,X2005,166.25,141.624,0.111527121,0.085957029
1109,Mexico,MEX,X2005,2048.766,1932.63,0.121773097,0.124943902
1110,Mongolia,MNG,X2005,764.597,837.858,0.016109505,0.1749302
1111,Myanmar,MMR,X2005,2064.628,1669.538,0.394363191,0.570686825
1112,Namibia,NAM,X2005,12.906,12.653,0.05613748,0.152472903
1113,Nigeria,NGA,X2005,4255.701,5348.64,0.339675307,0.295911148
1114,Norway,NOR,X2005,815.523,1111.134,0.036315117,0.132566692
1115,Oman,OMN,X2005,4.181,5.712,0.124529317,0.324982603
1116,Papua New Guinea,PNG,X2005,4.898,5.307,0.192888456,0.229895713
1117,Peru,PER,X2005,49.857,48.791,0.129494121,0.166969624
1118,Qatar,QAT,X2005,50.768,66.622,0.406198931,0.195549574
1119,Russia,RUS,X2005,6820.645,8579.637,0.261822221,0.374940064
1120,Saudi Arabia,SAU,X2005,375.388,637.853,0.10768232,0.399371235
