country,iso,year,General government total expenditure,General government revenue
Guinea,GIN,2011,7246.9,6824.141
Guyana,GUY,2011,159.65,143.325
Indonesia,IDN,2011,1382960.413,1336271.877
Iran,IRN,2011,1189794.916,1203714.331
Iraq,IRQ,2011,94252.996,104563.988
Kazakhstan,KAZ,2011,5997.106,7638.32
Kuwait,KWT,2011,16.619,31.026
Libya,LBY,2011,23.366,16.614
Malaysia,MYS,2011,250.477,217.488
Mali,MLI,2011,1258.365,1049.597
Mauritania,MRT,2011,323.972,324.064
Mexico,MEX,2011,3922.73,3437.057
Mongolia,MNG,2011,4997.04,4468.27
Myanmar,MMR,2011,7207.807,5200.601
Namibia,NAM,2011,34.574,28.282
Nigeria,NGA,2011,11039.277,11296.005
Norway,NOR,2011,1200.82,1569.13
Oman,OMN,2011,10.279,12.734
Papua New Guinea,PNG,2011,8.764,9.28
Peru,PER,2011,93.158,103.664
Qatar,QAT,2011,181.372,246.147
Russia,RUS,2011,19994.645,20855.368
Saudi Arabia,SAU,2011,891.82,1193.379
Sierra Leone,SLE,2011,2751.942,2170.759
